,x,y,z,p,test_name,t
0,-0.020755761875670412,-0.020600295739245933,0.9852460415493733,3.07586572829955,char_1,2024-02-01 14:01:44.304559
1,0.15697626174722676,-0.02021455132134721,0.9913405312019492,3.5280839477138817,char_1,2024-02-01 14:01:44.305559
2,0.2712886103088523,-0.0040160164945589084,0.9746271694230941,4.093484467381471,char_1,2024-02-01 14:01:44.306559
3,0.3490278199585223,-0.013009788759261086,0.9282899937147567,4.6712263253124044,char_1,2024-02-01 14:01:44.307559
4,0.5068308492532878,-0.010432930688828683,0.8639490819156155,5.193489793375677,char_1,2024-02-01 14:01:44.308559
5,0.61552413028333,0.0036855087445837697,0.7847502492377135,5.613344310613039,char_1,2024-02-01 14:01:44.309559
6,0.6941587549494125,-0.0019555093922820374,0.7300972136356468,5.819137727238007,char_1,2024-02-01 14:01:44.310559
7,0.778700096238709,0.03682028968549297,0.6316100705281397,5.73899564065334,char_1,2024-02-01 14:01:44.311559
8,0.841520792836734,0.012991749160969209,0.5155658401319908,5.542613304970631,char_1,2024-02-01 14:01:44.312559
9,0.9178395464456067,-0.013903722925457124,0.4101231648013114,5.106625240681664,char_1,2024-02-01 14:01:44.313559
10,0.959962480922026,-0.012185397990579435,0.25943160442567786,4.571978707198437,char_1,2024-02-01 14:01:44.314559
11,0.9790186428028819,0.007854311595280992,0.12905797601878544,4.010076064884406,char_1,2024-02-01 14:01:44.315559
12,0.9898917486867915,0.016627651036504838,0.06373487032131953,3.446871381516813,char_1,2024-02-01 14:01:44.316559
13,1.0474144841928066,-0.00861221553300122,-0.07411792687183405,2.9701215415548137,char_1,2024-02-01 14:01:44.317559
14,0.9414732261540729,0.024759851029656176,-0.23797652458229937,2.798167566820918,char_1,2024-02-01 14:01:44.318559
15,0.9421450040341026,0.011811967373004986,-0.3585778278997638,2.7402647714810415,char_1,2024-02-01 14:01:44.319559
16,0.9151576061458677,-0.0018177891056601805,-0.45847870352911163,2.949177230453401,char_1,2024-02-01 14:01:44.320559
17,0.8275797358639476,-0.00737930708881116,-0.5739561654971385,3.38699048306099,char_1,2024-02-01 14:01:44.321559
18,0.7497470169719135,-0.0033039729178127256,-0.6522596209308393,3.8921257367577473,char_1,2024-02-01 14:01:44.322559
19,0.6388238997875559,-0.0280275266812781,-0.7728037318239499,4.483887067235439,char_1,2024-02-01 14:01:44.323559
20,0.5719452961483218,0.029333558683394767,-0.8715266620145279,5.060758565932473,char_1,2024-02-01 14:01:44.324559
21,0.44830631843993796,0.01731347518654479,-0.8774698801504272,5.47218133953685,char_1,2024-02-01 14:01:44.325559
22,0.303111708863718,0.01318389795578131,-0.9214430503905008,5.798884937830666,char_1,2024-02-01 14:01:44.326559
23,0.23703091849160865,0.006189956132948735,-0.9710035515769144,5.8319833676962665,char_1,2024-02-01 14:01:44.327559
24,0.06747686262782988,-0.0030449255636322936,-1.009758187425737,5.6576630500769065,char_1,2024-02-01 14:01:44.328559
25,-0.08293198546916199,-0.035311979790580504,-1.0071541302865226,5.263456043908591,char_1,2024-02-01 14:01:44.329559
26,-0.18166022972051687,-0.02875920784825663,-0.9789537544460409,4.770446937343515,char_1,2024-02-01 14:01:44.330559
27,-0.31467148240166093,0.01337855794346688,-0.9550976249763531,4.150306220488913,char_1,2024-02-01 14:01:44.331559
28,-0.4236993508539019,-0.004323378942508236,-0.9007084734772492,3.5940789185596667,char_1,2024-02-01 14:01:44.332559
29,-0.5924348046960222,-0.014100827699473571,-0.8747331283805394,3.1043175008420554,char_1,2024-02-01 14:01:44.333559
30,-0.6689684470135292,0.015722632918532313,-0.7322457992811658,2.8426256694373127,char_1,2024-02-01 14:01:44.334559
31,-0.7378996330871387,-0.02733575836628071,-0.6664006193499885,2.695540443538984,char_1,2024-02-01 14:01:44.335559
32,-0.8372667159368335,-0.02384498495144828,-0.5531672925913168,2.8719192574667636,char_1,2024-02-01 14:01:44.336559
33,-0.8693252382548453,-0.027254223547546204,-0.4436270328227998,3.2239943637917516,char_1,2024-02-01 14:01:44.337559
34,-0.9605103379403235,-0.02185374738773684,-0.3649924802498076,3.6914472201763995,char_1,2024-02-01 14:01:44.338559
35,-0.9686116864274861,-0.03786849581195857,-0.1937948108642445,4.261692717769663,char_1,2024-02-01 14:01:44.339559
36,-0.9878299310135156,0.01596933802509699,-0.10799444926099985,4.8498808034723515,char_1,2024-02-01 14:01:44.340559
37,-0.9998541098966022,-0.03235328260274696,0.018086172359897866,5.394239506962164,char_1,2024-02-01 14:01:44.341559
38,-1.0103962998367029,-0.03721251184126676,0.14384974003834447,5.714819431992722,char_1,2024-02-01 14:01:44.342559
